z_soid,vszam,bevetel,haszonkulcs,vnap
1,28,3348739.0,11.56571428571428,1199
2,1,110228.0,10.11,1884
3,49,695098.0,8.902448979591835,7
4,37,665054.0,7.545675675675677,0
5,1,101496.0,8.5,940
6,1,136921.0,13.94,1365
7,7,504889.0,5.772857142857143,72
8,1,98157.0,5.0,591
9,32,456326.0,8.425937499999996,3
10,13,235601.0,7.882307692307693,12
11,12,195636.0,12.458333333333334,1040
12,25,913309.0,7.123599999999999,14
13,4,395558.0,9.7375,1112
14,1,165346.0,5.84,1205
15,1,125976.0,7.19,307
16,3,322094.0,9.513333333333334,304
17,8,1455900.0,9.6625,10
18,16,363134.0,13.560625000000003,3
19,2,209127.0,9.925,967
20,5,261243.0,8.776,863
21,2,41252.0,11.625,1690
22,1,39291.0,11.84,1774
23,15,208871.0,8.713333333333335,4
24,28,328948.0,8.637857142857142,6
25,1,62913.0,16.49,1958
26,1,307984.0,2.5,42
27,1,56740.0,5.0,479
28,4,205401.0,10.7075,198
29,20,626777.0,8.621999999999998,11
30,15,1498369.0,9.167333333333335,66
31,1,73220.0,15.6,261
32,80,2253705.0,6.824875000000003,3
33,3,173670.0,7.123333333333334,14
34,3,372417.0,6.54,86
35,3,199078.0,7.0,385
36,49,911589.0,8.24755102040817,64
37,4,285031.0,3.175,42
38,19,1733129.0,8.957368421052635,563
39,22,597085.0,8.359090909090908,141
40,9,155069.0,6.713333333333335,1
41,11,139336.0,8.097272727272728,30
42,23,516841.0,7.141304347826087,0
43,1,102283.0,22.95,1753
44,10,491361.0,5.867,261
45,1,47283.0,5.0,627
46,1,153646.0,5.0,409
47,7,201221.0,16.057142857142857,998
48,7,377205.0,10.101428571428572,384
49,57,1623340.0,8.339649122807018,5
50,23,708020.0,6.197391304347825,36
51,1,41606.0,5.0,583
52,4,208511.0,10.947500000000002,91
53,2,75606.0,5.0,380
54,1,36929.0,16.08,1690
55,27,516168.0,6.342592592592592,11
56,5,281441.0,4.16,11
57,3,169032.0,4.26,171
58,4,330535.0,6.04,280
59,1,94409.0,17.31,1752
60,89,1476073.0,10.95786516853933,5
61,40,742841.0,10.324500000000002,14
62,1,29913.0,24.74,1367
63,1,35087.0,5.0,713
64,2,62834.0,13.21,1746
65,22,976968.0,7.050000000000001,1
66,6,380882.0,6.7316666666666665,560
67,10,645702.0,10.313,30
68,28,1877372.0,8.55857142857143,15
69,1,112591.0,5.42,379
70,2,224441.0,7.445,619
71,1,137787.0,9.33,1074
72,9,1331135.0,7.902222222222223,338
73,9,1554757.0,5.595555555555555,1
74,1,432276.0,6.53,1187
75,7,455276.0,5.7457142857142856,267
76,152,4501189.0,7.968157894736827,9
77,52,2898506.0,7.051346153846155,3
78,10,556398.0,5.6370000000000005,7
79,16,884831.0,6.508125000000001,13
80,8,905323.0,8.05,283
81,1,233465.0,5.0,849
82,1,119898.0,5.0,983
83,1,126685.0,12.95,1347
84,12,898148.0,7.740833333333334,372
85,4,222780.0,13.8775,43
86,21,1239120.0,8.716666666666665,160
87,56,2086559.0,9.261964285714289,1
88,1,818110.0,10.84,1449
89,3,265087.0,10.876666666666663,1252
90,2,87299.0,3.75,36
91,24,3901115.0,5.200833333333334,54
92,1,40150.0,7.46,977
93,6,171875.0,15.131666666666666,938
94,2,93816.0,6.495,50
95,10,632333.0,10.159,281
96,6,832660.0,6.651666666666666,267
97,1,28100.0,14.7,1863
98,1,28268.0,11.88,1675
99,1,30269.0,16.26,1921
100,1,13220.0,12.24,1109
101,1,36425.0,14.99,1168
102,91,6895949.0,11.363296703296704,225
103,4,234284.0,13.08,93
104,21,2142075.0,6.756190476190476,153
105,1,45669.0,18.24,1416
106,1,162441.0,5.0,426
107,4,916205.0,5.655,155
108,4,106576.0,10.48,290
109,26,1422702.0,8.499230769230767,8
110,9,972680.0,14.461111111111112,1030
111,1,171645.0,7.86,1172
112,2,185496.0,9.17,889
113,4,866220.0,6.46,378
114,4,194922.0,8.8525,842
115,83,1585750.0,13.048433734939758,7
116,28,1101865.0,9.806428571428572,17
117,3,282852.0,8.486666666666666,457
118,25,2216570.0,10.5008,22
119,4,401424.0,15.85,855
120,8,276196.0,9.94875,533
121,13,421358.0,11.033846153846154,461
122,14,451190.0,16.154285714285717,1444
123,2,117236.0,7.955,409
124,2,134156.0,5.85,686
125,103,3046194.0,11.584854368932035,7
126,20,591917.0,10.8945,62
127,1,29126.0,14.72,1064
128,1,33701.0,5.0,339
129,3,149511.0,18.426666666666662,787
130,7,378819.0,9.288571428571428,61
131,11,106548.0,7.719090909090911,132
132,1,126047.0,5.0,706
133,98,11389056.0,13.158469387755105,21
134,13,2247950.0,9.998461538461536,59
135,82,3420488.0,10.763170731707325,9
136,1,133063.0,16.66,1323
137,53,1554136.0,8.907735849056605,2
138,1,107236.0,7.0,1476
139,13,1342454.0,9.095384615384615,205
140,3,75174.0,17.146666666666665,1324
141,1,43299.0,11.5,1064
142,1,39402.0,4.99,690
143,2,137779.0,13.025,769
144,10,349285.0,10.462,582
145,2,121673.0,8.26,437
146,25,442527.0,10.834799999999998,885
147,3,136685.0,14.796666666666669,1055
148,1,99992.0,13.15,892
149,16,404831.0,10.246875,30
150,13,336568.0,10.293846153846154,486
151,8,852827.0,9.62,111
152,16,351322.0,10.653125,360
153,7,69461.0,17.208571428571428,647
154,1,37000.0,16.88,1065
155,3,57174.0,4.983333333333333,570
156,21,336421.0,8.429523809523808,132
157,1,32276.0,10.19,1303
158,10,213154.0,8.408000000000001,280
159,1,39362.0,16.73,1149
160,29,722439.0,8.15068965517241,7
161,1,20717.0,10.01,1186
162,3,45019.0,15.923333333333332,1548
163,2,108295.0,9.69,1840
164,1,24654.0,10.01,1014
165,7,386826.0,18.15,415
166,9,245701.0,6.575555555555556,158
167,1,33850.0,22.71,1374
168,25,278379.0,11.0244,7
169,2,29197.0,20.285,1178
170,10,153314.0,12.412,44
171,6,119175.0,12.225,597
172,2,22425.0,13.645,665
173,6,79132.0,14.265,137
174,6,75764.0,9.441666666666666,749
175,5,171568.0,8.186,168
176,21,238271.0,8.878571428571428,15
177,5,120790.0,8.988000000000003,17
178,4,90510.0,17.695,1514
179,5,404275.0,14.902,697
180,1,31488.0,13.47,1824
181,12,283578.0,13.226666666666668,1057
182,4,102386.0,14.7375,730
183,2,96426.0,16.245,168
184,3,50748.0,5.01,360
185,1,57614.0,5.0,437
186,1,63575.0,5.0,203
187,11,1258163.0,5.699090909090909,260
188,3,233543.0,8.503333333333332,359
189,1,14717.0,20.45,1213
190,2,51441.0,10.835,1436
191,1,22394.0,10.01,1021
192,37,1045090.0,7.34837837837838,10
193,5,110346.0,6.208,24
194,31,1274570.0,9.351290322580644,57
195,1,46142.0,9.0,1200
196,1,59550.0,15.0,888
197,1,59134.0,20.01,1801
198,4,414788.0,14.8625,1486
199,12,251377.0,24.604999999999997,1330
200,8,241517.0,29.945,1709
201,1,132079.0,6.0,1132
202,7,967731.0,6.805714285714286,999
203,2,149434.0,9.24,1634
204,3,64551.0,10.323333333333332,583
205,5,148929.0,6.0120000000000005,17
206,2,42590.0,4.995,351
207,10,228716.0,8.934,276
208,9,277353.0,6.54,104
209,4,173088.0,5.0,251
210,3,139584.0,6.983333333333333,684
211,7,325182.0,5.644285714285714,29
212,8,730621.0,10.677499999999998,1011
213,28,832623.0,6.978928571428573,2
214,14,883830.0,6.859285714285716,264
215,4,35725.0,10.45,815
216,1,112205.0,5.0,570
217,2,89622.0,9.0,1431
218,1,17709.0,10.3,1170
219,2,1647677.0,35.415,162
220,3,1032716.0,32.07666666666666,170
221,10,2547213.0,31.734,36
222,3,1100093.0,31.94,105
223,3,921900.0,36.57333333333333,120
224,5,1536322.0,29.328,264
225,10,1505881.0,31.93999999999999,51
226,8,935142.0,37.95625,544
227,26,4710416.0,30.493076923076924,1
228,2,1096476.0,20.54,107
229,4,337200.0,37.745,311
230,2,880000.0,21.95,1059
231,1,146000.0,38.89,586
232,1,205000.0,38.89,210
233,2,727795.0,35.4,170
234,5,1958782.0,26.942,35
235,7,3311910.0,31.95,157
236,2,180158.0,31.58,394
237,5,566454.0,31.579999999999995,319
238,2,678000.0,16.94,13
239,2,866000.0,24.0,232
240,8,2496000.0,12.09875,84
241,2,196000.0,38.89,1086
242,3,444000.0,38.89,848
243,3,401488.0,36.35333333333333,455
244,2,3780976.0,15.54,294
245,40,5269272.0,12.787499999999998,8
246,31,3334725.0,12.735806451612904,13
247,4,1958000.0,37.83,349
248,1,318000.0,38.89,671
249,1,1065000.0,32.66,559
250,22,2282122.0,11.899545454545455,7
251,16,2509481.0,12.309375,35
252,2,523976.0,9.614999999999998,443
253,3,1122197.0,13.513333333333334,770
254,5,1091102.0,25.414,296
255,6,2546103.0,29.18,429
256,1,89700.0,38.89,1086
257,1,159984.0,5.0,882
258,17,1587440.0,6.380588235294118,6
259,25,631167.0,6.209999999999999,1
260,2,118654.0,11.23,967
261,1,27717.0,25.19,1697
262,15,224055.0,8.793333333333331,10
263,5,714962.0,31.94,244
264,1,1445000.0,29.87,883
265,1,98000.0,32.15,442
266,1,168000.0,38.89,1813
267,4,640000.0,34.42,269
268,1,59843.0,31.93,409
269,5,431287.0,37.514,417
270,2,163024.0,42.075,1730
271,1,70000.0,38.89,1213
272,1,75000.0,38.89,1101
273,1,150100.0,31.94,311
274,1,204573.0,27.99,1850
275,2,413600.0,12.64,391
276,1,227559.0,5.0,412
277,2,517800.0,13.15,224
278,1,197661.0,27.99,1850
279,10,2381665.0,14.127,192
280,8,2076451.0,12.3475,109
281,6,1102187.0,14.12,4
282,1,94480.0,12.65,1084
283,30,3372427.0,14.314333333333334,21
284,1,118102.0,7.21,222
285,9,1303880.0,13.875555555555556,1
286,1,190945.0,17.0,62
287,1,1298417.0,10.69,759
288,1,448031.0,9.81,80
289,9,2143944.0,29.20777777777777,48
290,1,185000.0,21.95,1732
291,12,2894230.0,11.77833333333333,45
292,6,2132968.0,12.326666666666668,969
293,4,2212797.0,14.25,304
